bandwidth,poly_order,method,beta1,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,covariates_used
125,3,sl,44.04699642070955,25.958974906707628,1.6967925959714263,0.08973587904259965,-6.464379410541731,95.29291534415245,101.75729475469419,1566,"log_volume, log_users, mkt_ret, log_users_lag"
50,1,rdrobust,80.1278889767003,106.343974833429,0.753478409117284,0.282127150745477,-94.0517637660292,322.808957526678,416.860721292707,249,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
50,2,rdrobust,130.73227002214,236.289017487351,0.55327273104912,0.1173438335605,-93.0845346113202,833.151393823806,926.235928435126,249,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
50,3,rdrobust,421.806027307804,395.899012302991,1.06543844313758,0.125487570469053,-169.374578849265,1382.52103240842,1551.89561125768,249,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
75,1,rdrobust,13.9651950710728,61.4308062119534,0.227332114491368,0.412539494235384,-70.0637465818806,170.740588851495,240.804335433376,656,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
75,2,rdrobust,50.3909690493232,94.1233339702396,0.53537169715276,0.265957237671433,-79.7735841077017,289.183105265308,368.95668937301,656,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
75,3,rdrobust,105.891636117502,146.174884372565,0.724417444022797,0.299794132875667,-134.932430748541,438.062586880528,572.99501762907,656,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
100,1,rdrobust,29.4653305751697,35.3645220219604,0.833188995368652,0.193293440447312,-23.3075607188401,115.318818268192,138.626378987032,1146,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
100,2,rdrobust,46.2353751602963,42.4485865022056,1.08920882814069,0.953593296430706,-85.6679966016705,80.7274048762416,166.395401477912,1146,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
100,3,rdrobust,-4.51280004387263,46.2198797386277,-0.097637641408684,0.531420329511317,-61.6630809185104,119.515518396455,181.178599314966,1146,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
125,1,rdrobust,-0.158135583476223,31.6832457641233,-0.0049911421529699,0.0353537539423414,4.5724999733023,128.768541195328,124.196041222026,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
125,2,rdrobust,68.6601304164737,39.9224805690905,1.71983627865131,0.706868773378414,-63.2331871623439,93.2600610154911,156.493248177835,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
125,3,rdrobust,14.4519287522088,45.0421069409307,0.320853746277043,0.50594518303057,-118.241325027358,58.3204897566932,176.561814784051,1566,"abs_ret, log_volume, log_users, mkt_ret, log_users_lag"
